,File,X,Y,color
118,Z0587,3.0462577,9.945337,#e50000
119,Z0607,3.2354746,7.9343295,#e50000
120,Z0608,2.8065639,9.246125,#e50000
121,Z0611,3.88936,7.9875293,#e50000
122,Z0613,3.4776168,8.915527,#e50000
123,Z0615,3.1400468,8.10578,#e50000
124,Z0623,3.6933768,7.608043,#e50000
125,Z0627,3.7974415,8.439686,#e50000
126,Z0629,2.9756877,9.746422,#e50000
127,Z0630,3.276589,9.752409,#e50000
128,Z0632,2.7656245,9.221064,#e50000
129,Z0638,3.287696,8.150806,#e50000
130,Z0654,3.6131475,8.653486,#e50000
131,Z0655,2.9271965,9.796967,#e50000
132,Z0659,3.8567328,7.5700674,#e50000
133,Z0663,3.8499372,7.982049,#e50000
134,Z0671,2.8719413,9.422501,#e50000
135,Z0673,2.7034826,10.015308,#e50000
136,Z0739,3.440189,8.581384,#e50000
137,Z0858,2.9316194,9.102437,#e50000
138,Z0902,3.5247517,7.618562,#e50000
139,Z0996,3.5512128,7.6593447,#e50000
140,Z1020,3.5822337,8.039799,#e50000
141,L0011,7.6115875,2.711728,#030aa7
142,L0102,7.727841,1.6633484,#030aa7
143,L0108,9.723464,0.53506774,#030aa7
144,L0149,9.554845,0.30263048,#030aa7
145,L0308,8.983126,2.1972027,#030aa7
146,L0313,10.030286,0.7806657,#030aa7
147,L0372,8.559057,1.8265121,#030aa7
148,L0389,9.627218,1.5026321,#030aa7
149,L0501,9.22801,1.8286233,#030aa7
150,L0518,9.934135,0.646304,#030aa7
151,L0520,7.468146,2.148883,#030aa7
152,L0534,8.226909,2.6197643,#030aa7
153,L0561,10.39784,0.25033927,#030aa7
154,L0661,7.549329,2.1082146,#030aa7
155,L0701,7.707599,1.9547358,#030aa7
156,L0703,9.765516,0.9675475,#030aa7
157,L0715,7.9813113,1.4488949,#030aa7
158,L0718,9.837901,0.3026454,#030aa7
159,L0723,10.119971,-0.07145308,#030aa7
160,L0724,9.397853,0.11548775,#030aa7
161,L0730,9.832855,1.0989307,#030aa7
162,L0733,9.958816,0.6421988,#030aa7
163,L0734,9.8175955,0.27948743,#030aa7
164,L0736,9.926881,0.39826757,#030aa7
165,L0737,9.592349,1.1946019,#030aa7
166,L0740,7.72786,2.3078463,#030aa7
167,L0742,8.248629,2.18327,#030aa7
168,L0744,7.942315,2.5430548,#030aa7
169,L0747,10.377132,0.12524788,#030aa7
170,L0750,8.975733,1.3731277,#030aa7
171,L0751,9.484992,0.44959453,#030aa7
172,L0754,9.648197,0.96159476,#030aa7
173,L0756,10.2469,-0.05189557,#030aa7
174,L0757,7.974294,2.1360407,#030aa7
175,L0758,10.002426,0.8513484,#030aa7
176,L0762,10.323649,0.15992491,#030aa7
177,L0764,7.598251,2.758893,#030aa7
178,L0768,8.387623,2.3346057,#030aa7
179,L0828,9.672948,0.9897047,#030aa7
180,L0833,8.001036,2.3267415,#030aa7
181,L0834,9.660386,0.7408631,#030aa7
182,L0835,8.22964,1.1881645,#030aa7
183,L0836,9.721344,0.63853186,#030aa7
184,L0837,8.289973,1.1280714,#030aa7
185,L0838,10.180317,-0.085741945,#030aa7
186,L0839,8.104946,1.6527966,#030aa7
187,L0840,9.925813,0.44983947,#030aa7
188,L0850,8.613801,1.6801261,#030aa7
189,L0852,8.391626,1.3765432,#030aa7
190,L0854,8.679738,2.165747,#030aa7
191,L0855,7.7041874,2.5975382,#030aa7
192,L0862,7.826076,2.3300889,#030aa7
193,L0867,8.82371,1.3117976,#030aa7
194,L0874,7.9668202,2.5818102,#030aa7
195,L0878,7.8626924,1.7131459,#030aa7
196,L0884,9.437969,0.65660894,#030aa7
197,L0889,9.462302,1.2490065,#030aa7
198,L0895,8.562018,1.4960072,#030aa7
199,L0903,8.744168,1.617959,#030aa7
200,L0906,9.259586,0.053643756,#030aa7
201,L0907,7.624185,2.5158417,#030aa7
202,L0912,7.970332,1.1589756,#030aa7
203,L0916,9.037441,1.9297146,#030aa7
204,L0918,9.879144,1.094323,#030aa7
205,L0919,9.162092,1.1941161,#030aa7
206,L0920,7.5741777,2.0838296,#030aa7
207,L0932,8.267683,1.9817513,#030aa7
208,L0933,9.549689,0.6177521,#030aa7
209,L0934,7.6383634,2.1700106,#030aa7
210,L0950,8.414904,1.6826066,#030aa7
211,L0955,10.389104,0.18237673,#030aa7
212,L0961,10.509983,0.14661883,#030aa7
213,L0965,8.377588,1.530035,#030aa7
214,L0966,9.570889,1.102152,#030aa7
215,L0973,7.436605,2.480694,#030aa7
216,L0974,8.32893,1.9042616,#030aa7
217,L0979,7.88252,1.4700037,#030aa7
218,L0983,9.40533,0.52240485,#030aa7
219,L0986,8.116016,1.3118051,#030aa7
220,L0992,10.314538,-0.0119748255,#030aa7
221,L0993,8.669467,1.8048089,#030aa7
222,L0994,9.713176,0.39849555,#030aa7
223,L1006,10.374877,0.09366409,#030aa7
224,L1007,8.4245405,1.1543399,#030aa7
225,L1019,10.46054,0.30656442,#030aa7
226,L1022,10.045674,0.54673105,#030aa7
227,L1031,9.613211,0.26595852,#030aa7
228,L1034,7.517794,2.1791067,#030aa7
229,L1035,8.0854,1.7649951,#030aa7
230,L1039,9.538201,0.08191278,#030aa7
231,L1040,7.7424765,2.6037061,#030aa7
232,L1041,8.8227415,1.4655275,#030aa7
233,L1042,9.070409,1.543144,#030aa7
234,L1043,7.8615036,2.395567,#030aa7
235,L1047,9.847178,-0.033787873,#030aa7
236,L1053,8.097947,1.9793518,#030aa7
237,L1054,9.33538,1.3277029,#030aa7
238,L1055,8.528894,1.4270636,#030aa7
239,L1057,7.851607,1.5959738,#030aa7
240,L1058,9.714456,0.25527745,#030aa7
241,R0069,-0.67773736,-0.31845418,#0a5f38
242,R0090,-0.12171391,0.46095622,#0a5f38
243,R0224,-0.5457205,0.08858817,#0a5f38
244,R0237,0.57490695,1.2777908,#0a5f38
245,R0239,0.10248683,0.47541925,#0a5f38
246,R0377,0.25376096,1.3356327,#0a5f38
247,R0454,-0.60725886,-0.58963877,#0a5f38
248,R0463,-0.3519388,-0.3041417,#0a5f38
249,R0495,0.977333,1.6581,#0a5f38
250,R0522,-0.75975895,-0.270202,#0a5f38
251,R0528,-0.597131,-0.52143127,#0a5f38
252,R0599,-0.66434616,-0.2939982,#0a5f38
253,R0609,-0.061943904,0.59715426,#0a5f38
254,R0628,0.7357438,1.8847303,#0a5f38
255,R0665,0.29166228,1.5357156,#0a5f38
256,R0705,0.3831884,1.554025,#0a5f38
257,R0707,0.4910579,1.6467034,#0a5f38
258,R0708,-0.10234022,0.90159523,#0a5f38
259,R0711,-0.722132,0.32181773,#0a5f38
260,R0716,-0.7526028,0.4059144,#0a5f38
261,R0732,-0.4615311,-0.16815513,#0a5f38
262,R0748,-0.027526312,1.2714343,#0a5f38
263,R0752,-0.28239116,0.7921049,#0a5f38
264,R0753,0.55435604,1.5019059,#0a5f38
265,R0755,0.5565026,1.5328546,#0a5f38
266,R0760,0.75804335,1.7042516,#0a5f38
267,R0761,0.19573265,1.5479605,#0a5f38
268,R0763,-0.5852532,0.4746365,#0a5f38
269,R0765,-0.5859835,-0.585319,#0a5f38
270,R0766,-0.6263767,-0.35855314,#0a5f38
271,R0767,-0.397304,-0.35008916,#0a5f38
272,R0810,-0.22134553,-0.19537896,#0a5f38
273,R0811,-0.5579265,-0.50991046,#0a5f38
274,R0812,-0.5610407,-0.20471546,#0a5f38
275,R0856,-0.58769864,0.7451383,#0a5f38
276,R0857,-0.11071716,1.0151919,#0a5f38
277,R0860,0.2365952,0.8769496,#0a5f38
278,R0871,-0.76499486,0.14981574,#0a5f38
279,R0872,-0.7507832,0.45544165,#0a5f38
280,R0882,0.22684552,1.0888109,#0a5f38
281,R0891,-0.29909724,1.4291722,#0a5f38
282,R0894,0.46453607,1.517052,#0a5f38
283,R0929,-0.50876576,0.85678494,#0a5f38
284,R0931,0.17329672,1.4307307,#0a5f38
285,R0938,-0.28768346,-0.022401035,#0a5f38
286,R0941,-0.44065708,-0.07183331,#0a5f38
287,R0944,0.602576,1.7542562,#0a5f38
288,R0957,-0.29451934,0.8925422,#0a5f38
289,R0960,-0.5080232,-0.43648142,#0a5f38
290,R0963,-0.44179124,0.80087996,#0a5f38
291,R0969,-0.119611144,0.7592102,#0a5f38
292,R0970,-0.36197343,-0.19625427,#0a5f38
293,R0998,-0.55358934,-0.50837994,#0a5f38
294,R1010,-0.65418774,0.4607408,#0a5f38
295,R1017,-0.14953385,0.5692954,#0a5f38
296,R1021,-0.7232486,0.36486858,#0a5f38
297,R1027,0.25955567,1.4336487,#0a5f38
298,R1050,-0.23450834,0.9514976,#0a5f38
299,R1051,0.22548217,1.6165383,#0a5f38
300,R1063,0.31118113,1.5165535,#0a5f38
